FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,2010,2018,2020
A,Annual,ARE,United Arab Emirates,WB_HCI_LAYS,Learning-Adjusted Years of School,F,Female,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,9.235651016,9.77793026,9.765245438
A,Annual,ARE,United Arab Emirates,WB_HCI_LAYS,Learning-Adjusted Years of School,M,Male,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,8.371061325,9.630922318,9.488609314
A,Annual,ARE,United Arab Emirates,WB_HCI_LAYS,Learning-Adjusted Years of School,_T,Total,YR,Years,WB_HCI,Human Capital Index (HCI),0,Units,8.794635773,9.717063904,9.645997047
A,Annual,ARE,United Arab Emirates,WB_HCI_PSURV,Probability of Survival to Age 5,F,Female,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.992457092,0.993151426,0.993199825
A,Annual,ARE,United Arab Emirates,WB_HCI_PSURV,Probability of Survival to Age 5,M,Male,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.990639687,0.991520584,0.991660357
A,Annual,ARE,United Arab Emirates,WB_HCI_PSURV,Probability of Survival to Age 5,_T,Total,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.9915241,0.992317438,0.992411137
A,Annual,ARE,United Arab Emirates,WB_HCI_TEST,Harmonized Test Scores,F,Female,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,460.8179321,464.0154419,463.4134827
A,Annual,ARE,United Arab Emirates,WB_HCI_TEST,Harmonized Test Scores,M,Male,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,428.2367859,438.7260742,432.2431335
A,Annual,ARE,United Arab Emirates,WB_HCI_TEST,Harmonized Test Scores,_T,Total,SCORE,Score,WB_HCI,Human Capital Index (HCI),0,Units,444.5520935,451.3416138,448.0406799
A,Annual,ARG,Argentina,WB_HCI_ASR,Adult Survival Rate,F,Female,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.91310674,0.919716954,0.921317935
A,Annual,ARG,Argentina,WB_HCI_ASR,Adult Survival Rate,M,Male,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.838681996,0.851294696,0.85453403
A,Annual,ARG,Argentina,WB_HCI_ASR,Adult Survival Rate,_T,Total,U,Unitless,WB_HCI,Human Capital Index (HCI),0,Units,0.876304626,0.885885715,0.888269186
